timestamp,openPrice,highPrice,lowPrice,closePrice
2026-01-02 00:00:00,"{'bid': 4325.38, 'ask': 4326.58}","{'bid': 4348.25, 'ask': 4349.45}","{'bid': 4323.65, 'ask': 4324.47}","{'bid': 4330.78, 'ask': 4331.08}"
2026-01-02 00:15:00,"{'bid': 4330.65, 'ask': 4330.95}","{'bid': 4342.59, 'ask': 4342.89}","{'bid': 4328.02, 'ask': 4328.32}","{'bid': 4340.93, 'ask': 4341.23}"
2026-01-02 00:30:00,"{'bid': 4341.45, 'ask': 4341.75}","{'bid': 4345.44, 'ask': 4345.74}","{'bid': 4338.93, 'ask': 4339.23}","{'bid': 4345.38, 'ask': 4345.68}"
2026-01-02 00:45:00,"{'bid': 4345.37, 'ask': 4345.67}","{'bid': 4351.33, 'ask': 4351.63}","{'bid': 4341.62, 'ask': 4341.92}","{'bid': 4348.19, 'ask': 4348.49}"
2026-01-02 01:00:00,"{'bid': 4348.39, 'ask': 4348.69}","{'bid': 4353.05, 'ask': 4353.35}","{'bid': 4344.41, 'ask': 4344.71}","{'bid': 4347.93, 'ask': 4348.23}"
2026-01-02 01:15:00,"{'bid': 4347.95, 'ask': 4348.25}","{'bid': 4349.27, 'ask': 4349.57}","{'bid': 4341.23, 'ask': 4341.53}","{'bid': 4347.15, 'ask': 4347.45}"
2026-01-02 01:30:00,"{'bid': 4347.18, 'ask': 4347.48}","{'bid': 4350.76, 'ask': 4351.06}","{'bid': 4346.59, 'ask': 4346.89}","{'bid': 4349.62, 'ask': 4349.92}"
2026-01-02 01:45:00,"{'bid': 4349.65, 'ask': 4349.95}","{'bid': 4356.03, 'ask': 4356.33}","{'bid': 4349.64, 'ask': 4349.94}","{'bid': 4354.16, 'ask': 4354.46}"
2026-01-02 02:00:00,"{'bid': 4354.14, 'ask': 4354.44}","{'bid': 4356.19, 'ask': 4356.49}","{'bid': 4345.15, 'ask': 4345.45}","{'bid': 4346.46, 'ask': 4346.76}"
2026-01-02 02:15:00,"{'bid': 4346.48, 'ask': 4346.78}","{'bid': 4349.76, 'ask': 4350.06}","{'bid': 4344.63, 'ask': 4344.93}","{'bid': 4349.15, 'ask': 4349.45}"
2026-01-02 02:30:00,"{'bid': 4349.11, 'ask': 4349.41}","{'bid': 4351.41, 'ask': 4351.71}","{'bid': 4345.69, 'ask': 4345.99}","{'bid': 4346.68, 'ask': 4346.98}"
2026-01-02 02:45:00,"{'bid': 4346.67, 'ask': 4346.97}","{'bid': 4354.48, 'ask': 4354.78}","{'bid': 4345.98, 'ask': 4346.28}","{'bid': 4347.94, 'ask': 4348.24}"
2026-01-02 03:00:00,"{'bid': 4347.91, 'ask': 4348.21}","{'bid': 4351.96, 'ask': 4352.26}","{'bid': 4345.47, 'ask': 4345.77}","{'bid': 4346.88, 'ask': 4347.18}"
